Arabic,English,Transliteration
عَالَجَ \ يُعَالِجُ \ عَالِجْ \ مُعَالَجَةٌ,"To treat, cure",‘aاlaja / yu‘aاliju / ‘aاlij / mu‘aاlajaahun
اِشْتَكَى \ يَشْتَكِي \ اِشْتَكِ \ اِشْتِكَاءٌ,To complain; To suffer from,اishtakaā / yashtakiy / اishtaki / اishtikaا’un
أَمَرَ(بِ) \ يَأْمُرُ \ مُرْ \ أَمْرٌ,To command,aamara(bi) / yaamuru / mur / aamrun
"سَقَى \ يَسْقِي \ اِسْقِ \ سَقْيٌ , سِقَايَةٌ",To give someone something to drink,"saqaā / yasqiy / اisqi / saqyun , siqaاyaahun"
فَكَّرَ \ يُفَكِّرُ \ فَكِّرْ \ تَفْكِيرٌ,To think,fakaara / yufakiiru / fakiir / tafkiyrun
تَشَابَهَ \ يَتَشَابَهَ \ تَشَابَهْ \ تَشَابُهٌ,To resemble,tashaاbaha / yatashaاbaha / tashaاbah / tashaاbuhun
اِخْتَلَفَ \ يَخْتَلِفُ \ اِخْتَلِفْ \ اِخْتِلَافٌ,To differ,اikhtalafa / yakhtalifu / اikhtalif / اikhtilaاfun
زَادَ \ يَزِيدُ \ زِدْ \ زِيَادَةٌ,To increase,zaاda / yaziydu / zid / ziyaاdaahun
حَاوَلَ \ يُحَاوِلُ \ حَاوِلْ \ مُحَاوَلَةٌ,To try,haاwala / yuhaاwilu / haاwil / muhaاwalaahun
نَجَحَ \ يَنْجَحُ \ اِنْجَحْ \ نَجَاحٌ,"To pass, be successful",najaha / yanjahu / اinjah / najaاhun
مَارَسَ \ يُمَارِسُ \ مَارِسْ \ مُمَارَسَةٌ,"To exercise, practise",maاrasa / yumaاrisu / maاris / mumaاrasaahun
"نَقَصَ \ يَنْقُصُ \ اُنْقُصْ \ نَقْصٌ , نُقْصَانٌ",To decrease,"naqasa / yanqusu / اunqus / naqsun , nuqsaاnun"
أَخَدَ \ يَأْخُذُ \ خُذْ \ أَخْذٌ,"To take, to start",aakhada / yaakhudhu / khudh / aakhdhun
تَنَاوَلَ \ يَتَنَاوَلُ \ تَنَاوَلْ \ تَنَاوُلٌ,To consume,tanaاwala / yatanaاwalu / tanaاwal / tanaاwulun
حَدَثَ \ يَحْدُثُ \ اُحْدُثْ \ حَدَثٌ,To happen,hadatha / yahduthu / اuhduth / hadathun
اِعْتَقَدَ \ يَعْتَقِدُ \ اِعْتَقِدْ \ اِعْتِقَادٌ,To believe,اi‘taqada / ya‘taqidu / اi‘taqid / اi‘tiqaاdun
اِتَّبَعَ \ يَتَّبِعُ \ اِتَّبِعْ \ اِتِّبَاعٌ,To follow,اitaaba‘a / yataabi‘u / اitaabi‘ / اitiibaا‘un
كَفَى \ يَكْفِي \ اِكْفِ \ كِفَايَةٌ,"To suffice, be enough",kafaā / yakfiy / اikfi / kifaاyaahun
أَحْسَنَ \ يُحْسِنُ \ أَحْسِنْ \ إِحْسَانٌ,To do excellently,aahsana / yuhsinu / aahsin / إihsaاnun
وَجَدَ \ يَجِدُ \ جِدْ \ وُجُودٌ,To find,wajada / yajidu / jid / wujuwdun
تَقَدَّمَ \ يَتَقَدَّمُ \ تَقَدَّمْ \ تَقَدُّمٌ,"To progress, improve, advance",taqadaama / yataqadaamu / taqadaam / taqaduumun
ظَهَرَ \ يَظْهَرُ \ اِظْهَرْ \ ظُهُورٌ,"To appear, becoame apparent, clear",zahara / yazharu / اizhar / zuhuwrun
ضَغَطَ \ يَضْغَطُ \ اِضْغَطْ \ ضَغْطٌ,To exert pressure on,daghata / yadghatu / اidghat / daghtun
حَذَّرَ (مِنْ) \ يُحَذِّرُ \ حَذِّرْ \ تَحْذِيرٌ,To warn against,hadhaara (min) / yuhadhiiru / hadhiir / tahdhiyrun
نَهَى (عَنْ) \ يَنْهَى \ اِنْهَ \ نَهْيٌ,"To forbid, prohibit",nahaā (‘an) / yanhaā / اinha / nahyun
أَسْرَفَ \ يُسْرِفُ \ أَسْرِفْ \ إِسْرَافٌ,To waste,aasrafa / yusrifu / aasrif / إisraاfun
ضَرَّ \ يَضُرُّ \ ضُرَّ \ ضَرَرٌ,To harm,daraa / yaduruu / duraa / dararun
أَلَمٌ \ آلَامٌ,Pain,aalamun / ālaاmun
خَطِيرٌ \ خُطُرٌ,"Serious, grave, dangerous",khatiyrun / khuturun
مَعِدَةٌ \ مَعِدٌ,Stomach,ma‘idaahun / ma‘idun
دُكْتُورٌ \ دَكَاتِرَةٌ,Doctor,duktuwrun / dakaاtiraahun
قِصَّةٌ \ قِصَصٌ,Story,qisaaahun / qisasun
مَرْأَةٌ \ نِسَاءٌ,Woman,maraaahun / nisaا’un
صَحَابِيٌّ \ صَحَابَةٌ,Companion,sahaاbiyunun / sahaاbaahun
رَجُلٌ \ رِجَالٌ,Man,rajulun / rijaاlun
بَطْنٌ \ بُطُونٌ,Stomach,batnun / butuwnun
مَرَضٌ \ أَمْرَاضٌ,"Illness, disease",maradun / aamraاdun
مَرَّةٌ \ مَرَّاتٌ,"Once, one time",maraaahun / maraaاtun
قَلْبٌ \ قُلُوبٌ,Heart,qalbun / quluwbun
مَحَلٌّ \ مَحَلَّاتٌ,"Shop, business",mahalunun / mahalaaاtun
أَكْلٌ \ أَكَلَاتٌ,Food,aaklun / aakalaاtun
شَيْءٌ \ أَشْيَاءُ,Thing,shay’un / aashyaا’u
وِعَاءٌ \ أَوْعِيَةٌ,"Vessel, container",wi‘aا’un / aaw‘iyaahun
حِمْيَةٌ \ حِمْيَاتٌ,Diet,himyaahun / himyaاtun
"بَيْضَةٌ \ بَيْضٌ , بُيُوض",Egg,"baydaahun / baydun , buyuwd"
رَوَّحَ \ يُرَوِّحُ \ رَوِّحْ \ تَرْوِيحٌ,"To recreate, relax, refresh",rawaaha / yurawiihu / rawiih / tarwiyhun
اِحْتَاجَ (إِلَى) \ يَحْتَاجُ \ اِحْتَجْ \ اِحْتِيَاجٌ,To need,اihtaاja (إilaā) / yahtaاju / اihtaj / اihtiyaاjun
أُغْمِىَ \&nbsp;يُغْمَى \ أَغْمِ \ إِغْمَاءٌ,"To faint, to lose consciousness (passive)",aughmiāa / &nbsp;yughmaā / aaghmi / إighmaا’un
أَفَاقَ \ يُفِيقُ \ أَفِقْ \ إِفَاقَةٌ,To recover consciousness,aafaاqa / yufiyqu / aafiq / إifaاqaahun
غَيَّرَ \ يُغَيِّرُ \ غَيِّرْ \ تَغْيِيرٌ,To change,ghayaara / yughayiiru / ghayiir / taghyiyrun
قَصَدَ \ يَقْصِدُ \ اِقْصِدْ \ قَصْدٌ,To intend,qasada / yaqsidu / اiqsid / qasdun
صَدَقَ \ يَصْدُقُ \ اُصْقُدْ \ صِدْقٌ,To be truthful,sadaqa / yasduqu / اusqud / sidqun
قَتَلَ \ يَقْتِلُ \ اْقْتُلْ \ قَتْلٌ,To kill,qatala / yaqtilu / اqtul / qatlun
دَعَا (إِلَى) \ يَدْعُو \ اُدْعُ \ دَعْوَةٌ,"To call to, invite",da‘aا (إilaā) / yad‘uw / اud‘u / da‘waahun
عَلَّمَ \ يُعَلِّمُ \ عَلِّمْ \ تَعْلِيمٌ,To teach,‘alaama / yu‘aliimu / ‘aliim / ta‘liymun
نَادَى \ يُنَادِي \ نَادِ \ نِدَاءٌ,To call,naاdaā / yunaاdiy / naاdi / nidaا’un
"نَاقَشَ \ يُنَاقِشُ \ نَاقِشْ \ نِقَاش , مُنَاقَشَةٌ",To discuss,"naاqasha / yunaاqishu / naاqish / niqaاsh , munaاqashaahun"
لَعِبَ \ يَلْعَبُ \ اِلْعَبْ \ لَعْبٌ,To play,la‘iba / yal‘abu / اil‘ab / la‘bun
سَبَحَ \ يَسْبَحُ \ اِسْبَحْ \ سِبَاحَةٌ,To swim,sabaha / yasbahu / اisbah / sibaاhaahun
نَصَبَ \ يَنْصُبُ \ اُنْصُبْ \ نَصْبٌ,"To set up, erect",nasaba / yansubu / اunsub / nasbun
حَمَلَ \ يَحْمِلُ \ اِحْمِلْ \ حَمْلٌ,"To carry, bring with",hamala / yahmilu / اihmil / hamlun
اِصْطَادَ \ يَصْطَادُ \ اِصْطَدْ \ اِصْطِيَادٌ,To hunt/to fish,اistaاda / yastaاdu / اistad / اistiyaاdun
صَوَّرَ \ يُصَوِّرُ \ صَوِّرُ \ تَصْوِيرٌ,To take a picture,sawaara / yusawiiru / sawiiru / taswiyrun
مَشَى \ يَمْشِي \ اِمْشِ \ مَشْيٌ,To walk,mashaā / yamshiy / اimshi / mashyun
أَعَدَّ \ يُعِدُّ \ أَعِدَّ \ إعْدَادٌ,To prepare,aa‘adaa / yu‘iduu / aa‘idaa / إ‘daاdun
"نَفْسٌ \ نُفُوسٌ , أَنْفُسٌ","Self, soul","nafsun / nufuwsun , aanfusun"
جِسْمٌ \ أَجْسَامٌ,Body,jismun / aajsaاmun
أُسْلُوبٌ \ أَسَالِيبُ,Style,ausluwbun / aasaاliybu
هَدَفٌ \ أَهْدَافٌ,Goal,hadafun / aahdaاfun
حَيَاةٌ \ حَيَوَاتٌ,Life,hayaاahun / hayawaاtun
نَصِيحَةٌ \ نَصَائِحُ,Advice,nasiyhaahun / nasaاiihu
حَدِيقَةٌ \ حَدَائِقُ,Park,hadiyqaahun / hadaاiiqu
نَوْعٌ \ أَنْوَاعٌ,Type,naw‘un / aanwaا‘un
شَاطِئٌ \ شَوَاطِئُ,Coast,shaاtiiun / shawaاtiiu
نَشَاطٌ \ أَنْشِطَةٌ,Activity,nashaاtun / aanshitaahun
لُعْبَةٌ \ أَلْعَابٌ,"Game, toy",lu‘baahun / aal‘aاbun
مُخَيَّمٌ \ مُخَيَّمَاتٌ,Camp,mukhayaamun / mukhayaamaاtun
أَمْرٌ \ أُمُورٌ,"Affair, matter",aamrun / aumuwrun
شِعْرٌ \ أَشْعَارٌ,Poetry,shi‘run / aash‘aاrun
وَسِيلَةٌ \ وسَائِلُ,"Way, means",wasiylaahun / wsaاiilu
قُوَّةٌ \ قُوَّاتٌ,"Energy, power, strength",quwaaahun / quwaaاtun
بَرْنَامَجْ \ بَرَامِجْ,Programme,barnaاmaj / baraاmij
مَصِيفٌ \ مَصَايِفُ,Summer resort,masiyfun / masaاyifu
غَابَةٌ \ غَابَاتٌ,Forest,ghaاbaahun / ghaاbaاtun
"بَحْرٌ \ بِحَارٌ , أَبْحُرٌ",Ocean,"bahrun / bihaاrun , aabhurun"
"إِنَاءٌ \ أَوَانٍ , آنَيَةٌ",Container,"إinaا’un / aawaاnin , ānayaahun"
"طَائِر \ طُيُورٌ , طَيْر",Bird,"taاiir / tuyuwrun , tayr"
قَلِقَ \ يَقْلَقُ \ اِقْلَقْ \ قَلَقٌ,To worry,qaliqa / yaqlaqu / اiqlaq / qalaqun
عَرَفَ \ يَعْرِفُ \ اِعْرِفْ \ مَعْرِفَةٌ,To know,‘arafa / ya‘rifu / اi‘rif / ma‘rifaahun
نَاسَبَ \ يُنَاسِبُ \ نَاسِبْ \ مُنَاسَبَةٌ,To be suitable,naاsaba / yunaاsibu / naاsib / munaاsabaahun
حَقَّقَ \ يُحَقِّقُ \ حَقِّقْ \ تَحْقِيقٌ,"To accomplish, actualise, achieve",haqaaqa / yuhaqiiqu / haqiiq / tahqiyqun
عَجَزَ \ يَعْجِزُ \ اِعْجِزْ \ عَجْزٌ,To be incapable of,‘ajaza / ya‘jizu / اi‘jiz / ‘ajzun
حَلَّ \ يَحُلُّ \ حُلَّ \ حَلٌّ,To solve; To untie; To come down,halaa / yahuluu / hulaa / halunun
ثَارَ \ يَثُورُ \ ثُرْ \ ثَوْرَةٌ,To become agitated; To rise against,thaاra / yathuwru / thur / thawraahun
"حَاوَرَ \ يُحَاوِرُ \ حَاوِرْ \ مُحَارَوَةٌ , حِوَارٌ",To converse,"haاwara / yuhaاwiru / haاwir / muhaاrawaahun , hiwaاrun"
عَادَ \ يَعُودُ \ عُدْ \ عَوْدَةٌ,To return,‘aاda / ya‘uwdu / ‘ud / ‘awdaahun
شَكَا \ يَشْكُو \ اُشْكُ \ شَكْوَى,To complain,shakaا / yashkuw / اushku / shakwaā
عَاشَ \ يَعِيشُ \ عِشْ \ عَيْشٌ,To live,‘aاsha / ya‘iyshu / ‘ish / ‘ayshun
دَرَى \ يَدْرِي \ اِدْرِ \ دِرَايَةٌ,To know,daraā / yadriy / اidri / diraاyaahun
أَطَاعَ \ يُطِيعُ \ أَطِعْ \ إِطَاعَةٌ,To obey,aataا‘a / yutiy‘u / aati‘ / إitaا‘aahun
تَغَيَّرَ \ يَتَغَيَّرُ \ تَغَيَّرْ \ تَغَيُّرٌ,To be changed,taghayaara / yataghayaaru / taghayaar / taghayuurun
أَهْمَلَ \ يُهْمِلُ \ أَهْمِلْ \ إِهْمَالٌ,To neglect; To omit,aahmala / yuhmilu / aahmil / إihmaاlun
اِهْتَمَّ \ يَهْتَمُّ \ اِهْتَمَّ \ اِهْتِمَامٌ,"To take seriously, give importance to",اihtamaa / yahtamuu / اihtamaa / اihtimaاmun
سَهِرَ \ يَسْهَرُ \ اِسْهَرْ \ سَهْرٌ,To stay awake at night,sahira / yasharu / اishar / sahrun
ضَمَّ \ يَضُمُّ \ ضُمَّ \ ضَمٌّ,"To contain, consist of; To draw together",damaa / yadumuu / dumaa / damunun
اِخْتَفَى \ يَخْتَفِي \ اِخْتَفِ \ اِخْتَفَاءٌ,To disappear,اikhtafaā / yakhtafiy / اikhtafi / اikhtafaا’un
ضَعُفَ \ يَضْعُفُ \ اُضْعُفْ \ ضَعْفٌ,To be weak,da‘ufa / yad‘ufu / اud‘uf / da‘fun
قَامَ (بِ) \ يَقُومُ \ قُمْ \ قِيَامٌ,"To do/fullfull, stand",qaاma (bi) / yaquwmu / qum / qiyaاmun
فَتَاةٌ \ فَتَايَاتٌ,Young girl,fataاahun / fataاyaاtun
خِلَافٌ \ خِلَافَاتٌ,"Difference, disagreement",khilaاfun / khilaاfaاtun
بِنْتٌ \ بَنَاتٌ,Girl,bintun / banaاtun
حَلٌّ \ حُلُولٌ,Solution,halunun / huluwlun
غَنِيٌّ \ أَغْنِيَاءُ,Rich,ghaniyunun / aaghniyaا’u
مَالٌ \ أَمْوَالٌ,Wealth,maاlun / aamwaاlun
شَابٌّ \ شَبَابٌ,Youth,shaاbunun / shabaاbun
دِينٌ \ أَدْيَانٌ,Religion,diynun / aadyaاnun
سَبَبٌ \ أَسْبَابٌ,Reason,sababun / aasbaاbun
سَبِيلٌ \ سُبُلٌ,"Way, path",sabiylun / subulun
نِظَامٌ \ أَنْظِمَةٌ,System,nizaاmun / aanzimaahun
شَخْصِيَّةٌ \ شَخْصِيَّاتٌ,Personality,shakhsiyaaahun / shakhsiyaaاtun
مُجْتَمَعٌ \ مُجْتَمَعَاتٌ,Community; Society,mujtama‘un / mujtama‘aاtun
شَكْوَى \ شَكَاوَى,Complaint,shakwaā / shakaاwaā
فَرْدٌ \ أَفْرَادٌ,"Individual, person",fardun / aafraاdun
هَاتِفٌ \ هَوَاتِفُ,Phone,haاtifun / hawaاtifu
عَلَاقَةٌ \ عَلَاقَاتٌ,"Relationship, connection",‘alaاqaahun / ‘alaاqaاtun
عَنِيدٌ \ عُنُدٌ,Stubborn,‘aniydun / ‘unudun
نَائِمٌ \ نِيَامٌ,Sleeping,naاiimun / niyaاmun
نَاحِيَةٌ \ نَوَاحٍ,"Point of view, way, angle, aspect",naاhiyaahun / nawaاhin
ضَرُورَةٌ \ ضَرُورَاتٌ,Necessity,daruwraahun / daruwraاtun
مُؤَدَّبٌ \ مُؤَدَّبُونَ,"Polite, respectful, mannered",muuadaabun / muuadaabuwna
مُطِيعٌ \ مُطِيعُونَ,Obedient,mutiy‘un / mutiy‘uwna
مُهْمِلُ \ مُهْمِلُونَ,"Careless, negligent",muhmilu / muhmiluwna
"رَحَلَ \ يَرْحَلُ \ اِرْحَلْ \ رِحْلَةٌ , رَحِيلٌ","To leave, depart","rahala / yarhalu / اirhal / rihlaahun , rahiylun"
مَاتَ \ يَمُوتُ \ مُتْ \ مَوْتٌ,To die,maاta / yamuwtu / mut / mawtun
خَافَ \ يَخَافُ \ خِفْ \ خَوْفٌ,To fear,khaاfa / yakhaاfu / khif / khawfun
وَاجَهَ \ يُوَاجِهُ \ وَاجِهْ \ مُوَاجَهَةٌ,"To face, encounter",waاjaha / yuwaاjihu / waاjih / muwaاjahaahun
اِزْدَادَ \ يَزْدَادُ \ اِزْدَدْ \ اِزْدِيَادٌ,"To grow, increase",اizdaاda / yazdaاdu / اizdad / اizdiyaاdun
هَاجَرَ \ يُهَاجِرُ \ هَاجِرْ \ مُهَاجَرَةٌ,"To move away, migrate",haاjara / yuhaاjiru / haاjir / muhaاjaraahun
أَدْرَكَ \ يُدْرِكُ \ أَدْرِكْ \ إِدْرَاكٌ,To understand,aadraka / yudriku / aadrik / إidraاkun
بَنَى \ يَبْنِي \ اِبْنِ \ بِنَاءٌ,To build,banaā / yabniy / اibni / binaا’un
رَجَعَ \ يَرْجِعُ \ اِرْجِعْ \ رُجُوعٌ,To return,raja‘a / yarji‘u / اirji‘ / rujuw‘un
بَلَغَ \ يَبْلُغُ \ اُبْلُغْ \ بُلُوغٌ,To reach,balagha / yablughu / اublugh / buluwghun
وَقَعَ \ يَقَعُ \ قَعْ \ وُقُوعٌ,"To be located, to occur",waqa‘a / yaqa‘u / qa‘ / wuquw‘un
اِتَّجَهَ \ يَتَّجِهُ \ اِتَّجِهْ \ اِتِّجَاهٌ,To head towards,اitaajaha / yataajihu / اitaajih / اitiijaاhun
اِنْعَطَفَ \ يَنْعَطِفُ \ اِنْعَطِفْ \ اِنْعِطَافٌ,To be turned,اin‘atafa / yan‘atifu / اin‘atif / اin‘itaاfun
اِسْتَمَرَّ \ يَسْتَمِرُّ \ اِسْتَمِرَّ \ اِسْتِمْرَارٌ,To continue,اistamaraa / yastamiruu / اistamiraa / اistimraاrun
كَثُرَ \ يَكْثُرُ \ اُكْثُرْ \ كَثْرَةٌ,To be numerous,kathura / yakthuru / اukthur / kathraahun
أَنْشَأَ \ يُنْشِئُ \ أَنْشِئْ \ إِنْشَاءٌ,To establish; To create,aanshaaa / yunshiiu / aanshii / إinshaا’un
اِشْتَهَرَ \ يَشْتَهِرُ \ اِشْتَهِرْ \ اِشْتِهَارٌ,To be famous,اishtahara / yashtahiru / اishtahir / اishtihaاrun
زَرْعٌ \ زُرُوعٌ,Crop,zar‘un / zuruw‘un
جَرِيمَةٌ \ جَرَائِمُ,Crime,jariymaahun / jaraاiimu
"حَادِثَةٌ \ حَادِثَاتٌ , حَوَادِثُ",Accident,"haاdithaahun / haاdithaاtun , hawaاdithu"
مَصْنَعٌ \ مَصَانِعُ,Factory,masna‘un / masaاni‘u
جَارٌ \ جِيرَانٌ,Neighbour,jaاrun / jiyraاnun
رِيفٌ \ أَرْيَافٌ,"Countryside, rural area",riyfun / aaryaاfun
دَوْلَةٌ \ دُوَلُ,Country,dawlaahun / duwalu
مِلْيُونَ \ مَلَايِينَ,Million,milyuwna / malaاyiyna
قَرْنٌ \ قُرُونٌ,"Century, horn",qarnun / quruwnun
مِلْيَارٌ \ مِلْيَارَاتٌ,Billion,milyaاrun / milyaاraاtun
نِسْبَةٌ \ نِسَبٌ,Percentage,nisbaahun / nisabun
شَارِعٌ \ شَوَارِعٌ,Street,shaاri‘un / shawaاri‘un
"دَوَّارٌ \ دَوَاوِيرُ , دَوَّارَاتٌ",Roundabout,"dawaaاrun / dawaاwiyru , dawaaاraاtun"
مَصْرِفٌ \ مَصَارِفُ,Bank,masrifun / masaاrifu
صَيْدَلِيَّةٌ \ صَيْدَلِيَّاتٌ,Pharmacy,saydaliyaaahun / saydaliyaaاtun
عِمَارَةٌ \ عِمَارَاتٌ,Building,‘imaاraahun / ‘imaاraاtun
"زَاوِيَةٌ \ زَاوِيَاتٌ , زَوَايَا",Corner,"zaاwiyaahun / zaاwiyaاtun , zawaاyaا"
مُخَدِّرٌ \ مُخَدِّرَاتٌ,Drug,mukhadiirun / mukhadiiraاtun
"سَائِقٌ \ سُوَّاقٌ , سَائِقُونَ",Driver,"saاiiqun / suwaaاqun , saاiiquwna"
أَثَرٌ \ آثَارٌ,Ancient monument,aatharun / āthaاrun
مِئْذَنَةٌ \ مَآذِنُ,Minaret,miidhanaahun / maādhinu
أُمَّةٌ \ أُمَمٌ,Nation,aumaaahun / aumamun
عِلْمٌ \ عُلُومٌ,Science,‘ilmun / ‘uluwmun
مَقَرٌّ \ مَقَرَّاتٌ,Location,maqarunun / maqaraaاtun
وِلَايَةٌ \ وِلَايَاتٌ,State,wilaاyaahun / wilaاyaاtun
زَلْزَلَةٌ \ زَلْزَلَاتٌ,Earthquake,zalzalaahun / zalzalaاtun
قَدَّمَ \ يُقَدِّمُ \ قَدِّمْ \ تَقْدِيمٌ,"To submit, to offer",qadaama / yuqadiimu / qadiim / taqdiymun
قَبِلَ \ يَقْبَلُ \ اِقْبَلْ \ قُبُولٌ,To accept,qabila / yaqbalu / اiqbal / qubuwlun
رَغِبَ (فِي) \ يَرْغَبُ \ اِرْغَبْ \ رَغْبَةٌ,"To wish for, want",raghiba (fiy) / yarghabu / اirghab / raghbaahun
اِلْتَحَقَ (بِ) \ يَلْتَحِقُ \ اِلْتَحِقْ \ اِلْتِحَاقٌ,To join,اiltahaqa (bi) / yaltahiqu / اiltahiq / اiltihaاqun
وَافَقَ \ يُوَافِقُ \ وَافِقْ \ مُوَافَقَةٌ \ وِفَاقٌ,To agree,waاfaqa / yuwaاfiqu / waاfiq / muwaاfaqaahun / wifaاqun
وَفَّقَ \ يُوَفِّقُ \ وَفِّقْ \ تَوْفِيقٌ,To grant success,wafaaqa / yuwafiiqu / wafiiq / tawfiyqun
اِنْتَشَرَ \ يَنْتَشِرُ \ اِنْتَشِرْ \ اِنْتِشَارٌ,To be widespread,اintashara / yantashiru / اintashir / اintishaاrun
شَاعَ \ يَشِيعُ \ شِعْ \ شُيُوعٌ,"To circulate, be widespread",shaا‘a / yashiy‘u / shi‘ / shuyuw‘un
تَعِبَ \ يَتْعَبُ \ اِتْعَبْ \ تَعَبٌ,To be exhausted,ta‘iba / yat‘abu / اit‘ab / ta‘abun
رَكِبَ \ يَرْكَبُ \ اِرْكَبْ \ رُكُوبٌ,"To mount, ride",rakiba / yarkabu / اirkab / rukuwbun
تَأَخَّرَ \ يَتَأَخَّرُ \ تَأَخَّرْ \ تَأَخُّرٌ,"To fall behind, delay",taaakhaara / yataaakhaaru / taaakhaar / taaakhuurun
تَرْجَمَ \ يُتَرْجِمُ \ تَرْجِمْ \ تَرْجَمَةٌ,To translate,tarjama / yutarjimu / tarjim / tarjamaahun
تَأَثَّرَ \ يَتَأَثَّرُ \ تَأَثَّرْ \ تَأَثُّرٌ,To be affected,taaathaara / yataaathaaru / taaathaar / taaathuurun
أَنْهَى \ يُنْهِي \ أَنْهِ \ إِنْهَاءٌ,To finish,aanhaā / yunhiy / aanhi / إinhaا’un
تَكَوَّنَ \ يَتَكَوَّنُ \ تَكَوَّنْ \ تَكَوُّنٌ,To consist of; <br>To form,takawaana / yatakawaanu / takawaan / takawuunun
تَرَاوَحَ \ يَتَرَاوَحُ \ تَرَاوَحْ \ تَرَاوُحٌ,To range (between),taraاwaha / yataraاwahu / taraاwah / taraاwuhun
حَصَلَ (عَلَى) \ يَحْصُلُ \ اُحْصُلْ \ حُصُولٌ,To attain,hasala (‘alaā) / yahsulu / اuhsul / husuwlun
أَشْرَفَ \ يُشْرِفُ \ أَشْرِفْ \ إِشْرَافٌ,"To supervise, run",aashrafa / yushrifu / aashrif / إishraاfun
وَفَّرَ \ يُوَفِّرُ \ وَفِّرْ \ تَوْفِيرٌ,To provide,wafaara / yuwafiiru / wafiir / tawfiyrun
أَجْرٌ \ أُجُورٌ,"Reward, wage",aajrun / aujuwrun
عَالِمٌ \ عُلَمَاءُ,Scholar,‘aاlimun / ‘ulamaا’u
عُمْرٌ \ أَعْمَارٌ,Age,‘umrun / aa‘maاrun
"وَرَقَةٌ \ وَرَق , أَوْرَاقٌ",Paper,"waraqaahun / waraq , aawraاqun"
تَعْلِيمٌ \ تَعَالِيمُ,Education,ta‘liymun / ta‘aاliymu
تِلْمِيذٌ \ تَلَامِيذُ,"Student, pupil",tilmiydhun / talaاmiydhu
حَضَارَةٌ \ حَضَارَاتٌ,Civilization,hadaاraahun / hadaاraاtun
حَضَانَةٌ \ حَضَانَاتٌ,"Nursery, kindergarten",hadaاnaahun / hadaاnaاtun
تَقْدَيرٌ \ تَقْدَيرَاتٌ,Grade,taqdayrun / taqdayraاtun
حَلَقَةٌ \ حَلَقَاتٌ,Study circle,halaqaahun / halaqaاtun
"رَوْضَةٌ \ رِيَاض , رَوْضَاتٌ",Pre-school,"rawdaahun / riyaاd , rawdaاtun"
سِنٌّ \ سُنُونٌ,Age,sinunun / sunuwnun
فَتْرَةٌ \ فَتَرَاتٌ,"Span (of time), stage",fatraahun / fataraاtun
عَمِيدٌ \ عُمَدَاءُ,"Head, dean",‘amiydun / ‘umadaا’u
مَعْهَدٌ \ مَعَاهِدُ,Institute,ma‘hadun / ma‘aاhidu
فُرْصَةٌ \ فُرَصٌ,"Opportunity, holiday",fursaahun / furasun
شَاهَدَةٌ \ شَاهَدَاتٌ,"Certificate, degree, declaration, testimony",shaاhadaahun / shaاhadaاtun
تَفَاءَلَ \ يَتَفَاءَلُ \ تَفَاءَلْ \ تَفَاؤُلٌ,To be optimistic,tafaا’ala / yatafaا’alu / tafaا’al / tafaاuulun
تَخَرَّجَ \ يَتَخَرَّجُ \ تَخَرَّجْ \ تَخَرُّجٌ,To graduate,takharaaja / yatakharaaju / takharaaj / takharuujun
عَمَّ \ يَعُمُّ \ عُمَّ \ عُمُومٌ,"To be prevalent, widespread",‘amaa / ya‘umuu / ‘umaa / ‘umuwmun
وَجَبَ \ يَجِبُ \ جِبْ \ وُجُوبٌ,To be obligatory,wajaba / yajibu / jib / wujuwbun
رَبَّى \ يُرَبِّي \ رَبِّ \ تَرْبِيَةٌ,"To raise, nurture",rabaaā / yurabiiy / rabii / tarbiyaahun
