Arabic,English,Transliteration
كَلَّفَ \ يُكَلِّفُ \ كَلِّفْ \ تَكْلِيفٌ,"To require, to ask someone to do something",kalaafa / yukaliifu / kaliif / takliyfun
وَلَّى \ يُوَلِّي \ وَلِّ \ تَوْلِيَةٌ,"To empower, authorise, appoint as ruler",walaaā / yuwaliiy / walii / tawliyaahun
نَفَعَ \ يَنْفَعُ \ اِنْفَعْ \ نَفْعٌ,To benefit,nafa‘a / yanfa‘u / اinfa‘ / naf‘un
نَسِيَ \ يَنْسَى \ اِنْسَ \ نِسْيَانٌ,To forget,nasiya / yansaā / اinsa / nisyaاnun
أَجْنَبِيٌّ \ أَجَانِبُ,"Foreign, foreigner",aajnabiyunun / aajaاnibu
قَاضٍ \ قُضَاةٌ,Judge,qaاdin / qudaاahun
ثَرْوَةٌ \ ثَرَوَاتٌ,"Fortune, wealth, treasure",tharwaahun / tharawaاtun
مُرَاهِقٌ \ مُرَاهِقُونَ,"Teenage, adolescent",muraاhiqun / muraاhiquwna
جَادٌّ \ جَادُّونَ,"Hard worker, serious",jaاdunun / jaاduuwna
مُهَاجِرٌ \ مُهَاجِرُونَ,Migrant,muhaاjirun / muhaاjiruwna
جَيْشٌ \ جُيُوشٌ,Army,jayshun / juyuwshun
صَغِيرٌ \ صِغَارٌ,"Small, young",saghiyrun / sighaاrun
غَزْوَةٌ \ غَزْوَاتٌ,Militairy expedition,ghazwaahun / ghazwaاtun
كَبِيرٌ \ كِبَارٌ,"Big, senior",kabiyrun / kibaاrun
حِكْمَةٌ \ حِكَمٌ,Wisdom,hikmaahun / hikamun
تَجْرِبَةٌ \ تَجَارِبُ,Experience,tajribaahun / tajaاribu
خَالٌّ \ أَخْوَالٌ,Maternal uncle,khaاlunun / aakhwaاlun
مَسْؤُولِيَّةٌ \ مَسْؤُولِيَّاتٌ,Responsibility,masuuwliyaaahun / masuuwliyaaاtun
شَيْخٌ \ شُيُوخٌ,"Elder, Shaykh",shaykhun / shuyuwkhun
"مَوْضُوعٌ \ مَوْضُوعَاتٌ , مَوَاضِيعُ",Subject,"mawduw‘un / mawduw‘aاtun , mawaاdiy‘u"
اِتَّحَدَ \ يَتَّحِدُ \ اِتَّحِدْ \ اِتِّحَادٌ,To unite,اitaahada / yataahidu / اitaahid / اitiihaاdun
اِحْتَلَّ \ يَحْتَلُّ \ اِحْتَلَّ \ اِحْتِلَالٌ,"To occupy, seize",اihtalaa / yahtaluu / اihtalaa / اihtilaاlun
اِسْتَعَانَ \ يَسْتَعِينُ \ اِسْتَعِنْ \ اِسْتِعَانَةٌ,To seek help,اista‘aاna / yasta‘iynu / اista‘in / اisti‘aاnaahun
اِشْتَغَلَ \ يَشْتَغِلُ \ اِشْتَغِلْ \ اِشْتِغَالٌ,To be busy/distracted; To work,اishtaghala / yashtaghilu / اishtaghil / اishtighaاlun
أَنْقَذَ \ يُنْقِذُ \ أَنْقِذْ \ إِنْقَاذٌ,"To rescue, save",aanqadha / yunqidhu / aanqidh / إinqaاdhun
اِخْتَصَرَ \ يَخْتَصِرُ \ اِخْتَصِرْ \ اِخْتِصَارٌ,"To summarise, abbreviate",اikhtasara / yakhtasiru / اikhtasir / اikhtisaاrun
"شَمَلَ \ يَشْمُلُ \ اُشْمُلْ \ شَمْلٌ , شُمُولٌ","To encompass, include","shamala / yashmulu / اushmul / shamlun , shumuwlun"
"نَازَعَ \ يُنَازِعُ \ نَازِعْ \ نِزَاعٌ , مُنَازَعَةٌ","To dispute (with), argue (with)","naاza‘a / yunaاzi‘u / naاzi‘ / nizaا‘un , munaاza‘aahun"
وَحَّدَ \ يُوَحِّدُ \ وَحِّدْ \ تَوْحِيدٌ,"To unite, make",wahaada / yuwahiidu / wahiid / tawhiydun
أَنْتَجَ \ يُنْتِجُ \ أَنْتِجْ \ إِنْتَاجٌ,To produce,aantaja / yuntiju / aantij / إintaاjun
عَزَا \ يَعْزُو \ اُعْزُ \ عَزْوٌ,To ascribe to,‘azaا / ya‘zuw / اu‘zu / ‘azwun
أَفَادَ \ يُفِيدُ \ أَفِدْ \ إِفَادَةٌ,"To benefit, serve",aafaاda / yufiydu / aafid / إifaاdaahun
"رَعَى \ يَرْعَى \ اِرْعَ \ رَعْيٌ , رِعَايَةٌ",To tend (a flock of animals),"ra‘aā / yar‘aā / اir‘a / ra‘yun , ri‘aاyaahun"
صَادَ \ يَصِيدُ \ صِدْ \ صَيْدٌ,"To hunt, shoot",saاda / yasiydu / sid / saydun
"زَرَعَ \ يَزْرَعُ \ اِزْرَعْ \ زَرْعٌ , زِرَاعَةٌ","To crop, cultivate (agriculture)","zara‘a / yazra‘u / اizra‘ / zar‘un , ziraا‘aahun"
اِسْتَشْرَقَ \ يَسْتَشْرِقُ \ اِسْتَشْرِقْ \ اِسْتِشْرَاقٌ,"To orientalise, interesting in studying the eastern world",اistashraqa / yastashriqu / اistashriq / اistishraاqun
"حَدِيثٌ \ حِدَاثٌ , حُدَثَاءُ",New,"hadiythun / hidaاthun , hudathaا’u"
طَائِعٌ \ طَائِعُونَ,"Compliant, submissive",taاii‘un / taاii‘uwna
مَهْمُومٌ \ مَهْمُومُونَ,"Anxious, concerned, troubled",mahmuwmun / mahmuwmuwna
عُمْلَةٌ \ عُمْلَاتٌ,Currency,‘umlaahun / ‘umlaاtun
عَهْدٌ \ عُهُودٌ,"Age, era, period",‘ahdun / ‘uhuwdun
فُولَةٌ \ فُولٌ,Bean,fuwlaahun / fuwlun
قِبْلَةٌ \ قِبَلٌ,(Prayer) direction,qiblaahun / qibalun
مَبْنَى \ مَبَانٍ,Building,mabnaā / mabaاnin
مَزِيَّةٌ \ مَزَايَا,"Advantage, excellence, merit",maziyaaahun / mazaاyaا
مِيزَةٌ \ مِيزَاتٌ,(Distinctive) mark/feature,miyzaahun / miyzaاtun
مَمَرٌّ \ مَمَرَّاتٌ,Passageway,mamarunun / mamaraaاtun
مُنَازَعَةٌ \ مُنَازَعَاتٌ,"Argument, dispute",munaاza‘aahun / munaاza‘aاtun
مِسَاحَةٌ \ مِسَاحَاتٌ,"Distance, space",misaاhaahun / misaاhaاtun
مَنْطِقَةٌ \ مَنَاطِقُ,Province,mantiqaahun / manaاtiqu
نَصْرَانِيٌّ \ نَصَارَى,Christian,nasraاniyunun / nasaاraā
مُحِيطٌ \ مُحِيطَاتٌ,"Ocean, surrounding",muhiytun / muhiytaاtun
أَثَارَ \ يُثِيرُ \ أَثِرْ \ إِثَارَةٌ,"To provoke, incite, instigate;<br>To plough",aathaاra / yuthiyru / aathir / إithaاraahun
أََخَافَ \ يُخِيفُ \ أَخِفْ \ إِخَافَةٌ,To frighten,aaakhaاfa / yukhiyfu / aakhif / إikhaاfaahun
اِرْتَكَبَ \ يَرْتَكِبُ \ اِرْتَكِبْ \ اِرْتِكَابٌ,To commit,اirtakaba / yartakibu / اirtakib / اirtikaاbun
اِسْتَقَرَّ \ يَسْتَقِرُّ \ اِسْتَقِرَّ \ اِسْتِقْرَارٌ,"To be settled, stable",اistaqaraa / yastaqiruu / اistaqiraa / اistiqraاrun
اِطْمَأَنَّ \ يَطْمَئِنَُ \ اِطْمَئِنَّ \ اِطْمِئْنَانٌ,To be reassured,اitmaaanaa / yatmaiinau / اitmaiinaa / اitmiinaاnun
أَوْقَفَ \ يُوقِفُ \ أَوْقِفْ \ إِيقَافٌ,To stop,aawqafa / yuwqifu / aawqif / إiyqaاfun
أَيَّدَ \ يُؤَيِّدُ \ أَيِّدْ \ تَأْيِيدٌ,"To advocate, support",aayaada / yuuayiidu / aayiid / taayiydun
بَحَثَ \ يَبْحَثُ \ اِبْحَثْ \ بَحْثٌ,To search,bahatha / yabhathu / اibhath / bahthun
تَعَاوَنَ \ يَتَعَاوَنُ \ تَعَاوَنْ \ تَعَاوُنٌ,To assist/support one another,ta‘aاwana / yata‘aاwanu / ta‘aاwan / ta‘aاwunun
تَمَتَّعَ (بِ) \ يَتَمَتَّعُ \ تَمَتَّعْ \ تَمَتُّعٌ,To take pleasure in,tamataa‘a (bi) / yatamataa‘u / tamataa‘ / tamatuu‘un
تَوَجَّهَ (إِلَى) \ يَتَوَجَّهُ \ تَوَجَّهْ \ تَوَجُّهٌ,"To proceed to, head for",tawajaaha (إilaā) / yatawajaahu / tawajaah / tawajuuhun
تَوَفَّرَ \ يَتَوَفَّرُ \ تَوَفَّرْ \ تَوَفُّرٌ,To be available,tawafaara / yatawafaaru / tawafaar / tawafuurun
حَمَى \ يَحْمِي \ اِحْمِ \ حَمْيٌ \ حِمَايَةٌ,To protect,hamaā / yahmiy / اihmi / hamyun / himaاyaahun
"خَصَّ \ يَخُصُّ \ خُصَّ \ خَصٌّ , خُصُوصِيَّةٌ",To have to do with; To distinguish,"khasaa / yakhusuu / khusaa / khasunun , khusuwsiyaaahun"
ذَاقَ \ يَذُوقُ \ ذُقْ \ ذَوْقٌ,"To experience, taste",dhaاqa / yadhuwqu / dhuq / dhawqun
سَجَنَ \ يَسْجُنُ \ اُسْجُنْ \ سِجْنٌ,To take into custody,sajana / yasjunu / اusjun / sijnun
سَرَقَ \ يَسْرِقُ \ اِسْرِقْ \ سَرِقَةٌ,To steal,saraqa / yasriqu / اisriq / sariqaahun
"عَاقَبَ \ يُعَاقِبُ \ عَاقِبْ \ عِقَابٌ , مُعَاقَبَةٌ",To punish,"‘aاqaba / yu‘aاqibu / ‘aاqib / ‘iqaاbun , mu‘aاqabaahun"
قَبَضَ \ يَقْبِضُ \ اِقْبِضْ \ قَبْضٌ,"To arrest, seize, apprehend",qabada / yaqbidu / اiqbid / qabdun
نَشِطَ \ يَنْشَطُ \ اِشَطْ \ نَشَاطٌ,"To be active, to proceed",nashita / yanshatu / اishat / nashaاtun
نَفَّذَ \ يُنَفِّذُ \ نَفِّذْ \ تَنْفِيذٌ,"To adhere to, carry out",nafaadha / yunafiidhu / nafiidh / tanfiydhun
هَيْمَنَ \ يُهَيْمِنُ \ هَيْمِنْ \ هَيْمَنَةٌ,"To control, dominate",haymana / yuhayminu / haymin / haymanaahun
قَارَنَ \ يُقَارِنُ \ قَارِنْ \ مُقَارَنَةٌ,To compare,qaاrana / yuqaاrinu / qaاrin / muqaاranaahun
اِغْتَصَبَ \ يَغْتَصِبُ \ اِغْتَصِبْ \ اِغْتِصَابٌ,"To rape, take by force",اightasaba / yaghtasibu / اightasib / اightisaاbun
أَضْعَفَ \ يُضْعِفُ \ أَضْعِفْ \ إِضْعَافٌ,To weaken,aad‘afa / yud‘ifu / aad‘if / إid‘aاfun
"شَغَلَ \ يَشْغَلُ \ اِشْغَلُ \ شَغْلٌ , شُغْلٌ","To engage, keep busy","shaghala / yashghalu / اishghalu / shaghlun , shughlun"
تَوَقَّفَ \ يَتَوَقَّفُ \ تَوَقَّفْ \ تَوَقُّفٌ,To come to a standstill,tawaqaafa / yatawaqaafu / tawaqaaf / tawaquufun
سَاوَى \ يُسَاوِي \ سَاوِ \ مُسَاوَةٌ,To be equivalent to,saاwaā / yusaاwiy / saاwi / musaاwaahun
أَدَامَ \ يُدِيمُ \ أَدِمْ \ إِدَامَةٌ,"To make permanent, maintain, preserve",aadaاma / yudiymu / aadim / إidaاmaahun
حَدَّثَ \ يُحَدِّثُ \ حَدِّثْ \ تَحْدِيثٌ,To speak,hadaatha / yuhadiithu / hadiith / tahdiythun
أَمِنَ \ يَأْمَنُ \ اِئْمَنْ \ أَمْنٌ,"To be safe, secure",aamina / yaamanu / اiiman / aamnun
بِنَاءٌ \ أَبْنِيَةٌ,"Construntion, building",binaا’un / aabniyaahun
حَادِثٌ \ حَوَادِثُ,"Event, tragedy",haاdithun / hawaاdithu
حَدٌّ \ حُدُودٌ,Punishment,hadunun / huduwdun
خَرِيطَةٌ \ خَرَائِطُ,Map,khariytaahun / kharaاiitu
شُرْطِيٌّ \ شُرْطَةٌ,Police officer,shurtiyunun / shurtaahun
شَقِيٌّ \ أَشَقِيَاءُ,Miserable,shaqiyunun / aashaqiyaا’u
ضَعِيفٌ \ ضُعَفَاءُ,Weak,da‘iyfun / du‘afaا’u
طَاقَةٌ \ طَاقَاتٌ,"Energy, power, strength",taاqaahun / taاqaاtun
عَدْوَى \ عَدَاوَى,Infection,‘adwaā / ‘adaاwaā
عَصْبَة \ عَصَبَات,"Union, association, society",‘asbaah / ‘asabaاt
قَانُونٌ \ قَوَانِينُ,"Law, legistation",qaاnuwnun / qawaاniynu
قَضِيَّةٌ \ قَضَايَا,"Affair, issue, case, lawsuit",qadiyaaahun / qadaاyaا
مُجْرِمٌ \ مُجْرِمُونَ,Criminal,mujrimun / mujrimuwna
مَجْلِسٌ \ مَجَالِسُ,"Assembly, place of assembly",majlisun / majaاlisu
مَشْرُوعٌ \ مَشَارِيعُ,Project,mashruw‘un / mashaاriy‘u
سِلَاحٌ \ أَسْلِحَةٌ,Weapon,silaاhun / aaslihaahun
"نَهَارٌ \ أَنْهُرٌ , نُهُرٌ",Daytime,"nahaاrun / aanhurun , nuhurun"
جَانٍ \ جُنَاةٌ,Criminal,jaاnin / junaاahun
مُنَظَّمَةٌ \ مُنَظَّمَاتٌ,"Association, union, confederation",munazaamaahun / munazaamaاtun
عُقُوبَةٌ \ عُقُوبَاتٌ,Punishment,‘uquwbaahun / ‘uquwbaاtun
قَرَارٌ \ قَرَارَاتٌ,"Descision, judgement, sentence",qaraاrun / qaraاraاtun
رَادِعٌ \ رَوَادِعُ,Deterrent,raاdi‘un / rawaاdi‘u
أَحْرَقَ \ يُحْرِقُ \ أَحْرِقْ \ إِحْرَاقٌ,To set on fire,aahraqa / yuhriqu / aahriq / إihraاqun
اِسْتَهْلَكَ \ يَسْتَهْلِكُ \ اِسْتَهْلِكْ \ اِسْتِهْلَاكٌ,To consume,اistahlaka / yastahliku / اistahlik / اistihlaاkun
اِلْتَهَبَ \ يَلْتَهِبُ \ اِلْتَهْبْ \ اِلْتِهَابٌ,To inflame,اiltahaba / yaltahibu / اiltahb / اiltihaاbun
أَلْقَى \ يُلْقِي \ اَلْقِ \ إِلْقَاءٌ,To throw,aalqaā / yulqiy / اalqi / إilqaا’un
اِنْقَرَضَ \ يَنْقَرِضُ \ اِنْقَرِضْ \ اِنْقِرَاضٌ,To become extinct,اinqarada / yanqaridu / اinqarid / اinqiraاdun
سَبَّبَ \ يُسَبِّبُ \ سَبِّبْ \ تَسْبِيبٌ,To cause,sabaaba / yusabiibu / sabiib / tasbiybun
حَيَّرَ \ يُحَيِّرُ \ حَيِّرْ \ تَحْيِيرٌ,"To confuse, puzzle, perplex",hayaara / yuhayiiru / hayiir / tahyiyrun
أَتْلَفَ \ يُتْلِفُ \ أَتْلِفْ \ إِتْلَافٌ,To damage; To destroy,aatlafa / yutlifu / aatlif / إitlaاfun
دَفَنَ \ يَدْفَنُ \ اِدْفِنْ \ دَفْنٌ,To bury,dafana / yadfanu / اidfin / dafnun
ذَكَرَ \ يَذْكُرُ \ اُذْكُرْ \ ذِكْرٌ,"To cite, mention, state",dhakara / yadhkuru / اudhkur / dhikrun
"غَرَسَ \ يَغْرِسُ \ اِغْرِسْ \ غَرْسٌ , غِرَاسَةٌ",To plant,"gharasa / yaghrisu / اighris / gharsun , ghiraاsaahun"
رَاقَبَ \ يُرَاقِبُ \ رَاقِبْ \ مُرَاقَبَةٌ,"To monitor, to watch",raاqaba / yuraاqibu / raاqib / muraاqabaahun
اِشْتَرَكَ \ يَشْتَرِكُ \ اِشْتَرِكْ \ اِشْتِرَاكٌ,"To join, partake (in)",اishtaraka / yashtariku / اishtarik / اishtiraاkun
بِئْرٌ \ آبَارٌ,Well,biirun / ābaاrun
عَمَلٌ \ أَعْمَالٌ,Job,‘amalun / aa‘maاlun
خَطَرٌ \ أَخْطَارٌ,Danger,khatarun / aakhtaاrun
"أَرْضٌ \ أَرْضُونَ , أَرَاضٍ","Earth, land","aardun / aarduwna , aaraاdin"
أَزْمَةٌ \ أَزْمَاتٌ,"Crisis, emergency",aazmaahun / aazmaاtun
سَرَطَانٌ \ سَرَطَانَاتٌ,Cancer,sarataاnun / sarataاnaاtun
بَيَانٌ \ بَيَانَاتٌ,"Explanation, clarification, demonstration",bayaاnun / bayaاnaاtun
جَوْلَةٌ \ جَوْلَاتٌ,"Trip, tour, round",jawlaahun / jawlaاtun
مَسْرُورٌ \ مَسْرُورُونَ,Happy,masruwrun / masruwruwna
رِئَةٌ \ رِئَاتٌ,Lung,riiaahun / riiaاtun
عَيْنٌ \ عُيُونٌ,Eye,‘aynun / ‘uyuwnun
رَائِحَةٌ \ رَوَائِحُ,"Smell, fragrance, scent",raاiihaahun / rawaاiihu
مُؤَسَّسَةٌ \ مُؤَسَّسَاتٌ,"Foundation, institute, organisation",muuasaasaahun / muuasaasaاtun
نَادِرٌ \ نَادِرُونَ,"Rare, scarce",naاdirun / naاdiruwna
نَبَاتٌ \ نَبَاتَاتٌ,"Vegetation, plant(s)",nabaاtun / nabaاtaاtun
نُفَايَةٌ \ نُفَايَاتٌ,"Waste, garbage",nufaاyaahun / nufaاyaاtun
اِحْتَاطَ \ يَحْتَاطُ \ اِحْتَطْ \ اِحْتِيَاطٌ,"To be cautious, careful",اihtaاta / yahtaاtu / اihtat / اihtiyaاtun
اِدَّعَى \ يَدَّعِي \ اِدَّعِ \ اِدِّعَاءٌ,To claim,اidaa‘aā / yadaa‘iy / اidaa‘i / اidii‘aا’un
اِسْتَغَلَّ \ يَسْتَغِلُّ \ اِسْتَغِلَّ \ اِسْتِغْلَالٌ,"To benefit from/by, exploit",اistaghalaa / yastaghiluu / اistaghilaa / اistighlaاlun
اِسْتَفَادَ \&nbsp;يَسْتَفِيدُ \ اِسْتَفِدْ \ اِسْتَفَادَةٌ,To benefit from/by,اistafaاda / &nbsp;yastafiydu / اistafid / اistafaاdaahun
اِنْخَفَضَ \ يَنْخَفِضُ \ اِنْخَفِضْ \ اِنْخِفَاضٌ,"To decrease, become less",اinkhafada / yankhafidu / اinkhafid / اinkhifaاdun
بَذَّرَ \ يُبَذِّرُ \ بَذِّرْ \ تَبْذِيرٌ,To waste,badhaara / yubadhiiru / badhiir / tabdhiyrun
جَمَّلَ \ يُجَمِّلُ \ جَمِّلْ \ تَجْمِيلٌ,To beautify,jamaala / yujamiilu / jamiil / tajmiylun
بَرَّدَ \ يُبِرِّدُ \ بَرِّدْ \ تَبْرِيدٌ,"To cool, freeze, refrigerate",baraada / yubiriidu / bariid / tabriydun
سَخَّنَ \ يُسَخِّنُ \ سَخِّنْ \ تَسْخِينٌ,To warm up,sakhaana / yusakhiinu / sakhiin / taskhiynun
أَضَاءَ \ يُضِيءُ \ أَضِئْ \ إِضَاءَةٌ,"To light up, illuminate",aadaا’a / yudiy’u / aadii / إidaا’aahun
جَدَّدَ \ يُجَدِّدُ \ جَدِّدْ \ تَجْدِيدٌ,To renew,jadaada / yujadiidu / jadiid / tajdiydun
صَدَّرَ \ يُصَدِّرُ \ صَدِّرْ \ تَصْدِيرٌ,To export; To begin something with,sadaara / yusadiiru / sadiir / tasdiyrun
ضَاعَفَ \ يُضَاعِفَ \ ضَاعِفْ \ مَضَاعَفَةٌ,"To double, to multiple",daا‘afa / yudaا‘ifa / daا‘if / madaا‘afaahun
طَبَخَ \ يَطْبُخُ \ اُطْبُخْ \ طَبْخٌ,To cook,tabakha / yatbukhu / اutbukh / tabkhun
قَفَزَ \ يَقْفِزُ \ اِقْفِزْ \ قَفْزٌ,"To jump, leap",qafaza / yaqfizu / اiqfiz / qafzun
دَفَّأَ \ يُدَفِّئُ \ دَفِّئْ \ تَدْفِئَةٌ,"To heat, warm (up)",dafaaaa / yudafiiiu / dafiii / tadfiiaahun
اِسْتَجَابَ (لِ) \ يَسْتَجِيبُ \ اِسْتَجِبْ \ اِسْتِجَابَةٌ,"To respond, carry out",اistajaاba (li) / yastajiybu / اistajib / اistijaاbaahun
اِسْتَمَدَّ \ يَسْتَمِدُّ \ اِسْتَمِدَّ \ اِسْتِمْدَادٌ,"To get from, obtain from, take from",اistamadaa / yastamiduu / اistamidaa / اistimdaاdun
"نَفِدَ \ يَنْفَدُ \ اِنْفَدْ \ نَفَادٌ , نَفَدٌ","To run out, be exhausted","nafida / yanfadu / اinfad / nafaاdun , nafadun"
"جَرَّبَ \ يُجَرِّبُ \ جَرِّبْ \ تَجْرِيبٌ , تَجْرِبَةٌ","To try, test","jaraaba / yujariibu / jariib / tajriybun , tajribaahun"
اِحْتَجَبَ \ يَحْتَجِبُ \ اِحْتَجِبْ \ اِحْتِجَابٌ,"To be covered, concealed",اihtajaba / yahtajibu / اihtajib / اihtijaاbun
جِهَازٌ \ أَجْهِزَةٌ,"Appliance, device",jihaاzun / aajhizaahun
سِعْرٌ \ أَسْعَارٌ,Price,si‘run / aas‘aاrun
سِمَادٌ \ أَسْمِدَةٌ,Fertilizer,simaاdun / aasmidaahun
لَوْحٌ \ أَلْوَاحٌ,Panel,lawhun / aalwaاhun
بَرْمِيلٌ \ بَرَامِيلُ,Barrel,barmiylun / baraاmiylu
خَلَّاطٌ \ خَلَّاطَاتٌ,Blender,khalaaاtun / khalaaاtaاtun
ذَنْبٌ \ ذُنُوبٌ,"Crime, sin",dhanbun / dhunuwbun
مِيزَانِيَّةٌ \ مِيزَانِيَّاتٌ,Budget,miyzaاniyaaahun / miyzaاniyaaاtun
شَاحِنَةٌ \ شَاحِنَاتٌ,Truck,shaاhinaahun / shaاhinaاtun
ضَرِيبَةٌ \ ضَرَائِبُ,Tax,dariybaahun / daraاiibu
غَسَّالَةٌ \ غَسَّالَاتٌ,Washing machine,ghasaaاlaahun / ghasaaاlaاtun
فَاتُورَةٌ \ فَوَاتِيرُ,"Bill, receipt, invoice",faاtuwraahun / fawaاtiyru
مَحْدُودٌ \ مَحْدُودُونَ,"Limited, fixed",mahduwdun / mahduwduwna
مِذْيَاعٌ \ مَذَايِيعُ,Radio,midhyaا‘un / madhaاyiy‘u
مَصْدَرٌ \ مَصَادِرُ,Source,masdarun / masaاdiru
مِكْنَسَةٌ \ مِكْنَسَاتٌ,Vacuum cleaner,miknasaahun / miknasaاtun
مُنْتَجٌ \ مُنْتَجَاتٌ,Product,muntajun / muntajaاtun
نَجْمٌ \ نُجُومٌ,Star,najmun / nujuwmun
مَنْسُوجٌ \ مَنْسُوجَاتٌ,"Clothes, anything made from fabric",mansuwjun / mansuwjaاtun
مُنَظِّفٌ \ مُنَظِّفَاتٌ,"Cleaning product, detergent",munaziifun / munaziifaاtun
شُعَاعٌ \ أَشِعَّةٌ,Ray,shu‘aا‘un / aashi‘aaahun
"حَمَامَةٌ \ حَمَامٌ , حَمَائِمُ","Pigeon, dove","hamaاmaahun / hamaاmun , hamaاiimu"
جَمَلٌ \ جِمَالٌ,Camel,jamalun / jimaاlun
ظَهْرٌ \ ظُهُورٌ,Back,zahrun / zuhuwrun
شَاشَةٌ \ شَاشَاتٌ,Screen,shaاshaahun / shaاshaاtun
عُنْوَانٌ \ عَنَاوِينُ,Address,‘unwaاnun / ‘anaاwiynu
تَارِيخٌ \ تَوَارِيخٌ,History,taاriykhun / tawaاriykhun
تُرْبَةٌ \ تُرْبَاتٌ,"Earth, land, soil",turbaahun / turbaاtun
رَغْمَ (ذلك),"Despite, in spite of",raghma (dhlk)
عَادِيّ,"Normal, regular, usual",‘aاdiyy
شَحْم \ شُحُوم,"Fat, grease",shahm / shuhuwm
بَدَانَة,Obesity,badaاnaah
دَسَم,Fat; Fatty (full fat),dasam
نَشْوِيّ \ نَشْوِيَّات,"Starchy, starchy foodstuffs (carbohydrates)",nashwiyy / nashwiyaaاt
دُهْن \ دُهُون,Oil (eating); Fat,duhn / duhuwn
عَنَاء,"Pains, hardship, trouble",‘anaا’
مُتْعَة \ مُتَع,"Enjoyment, pleasure, delight",mut‘aah / muta‘
رِمَايَة,Shooting; Archery,rimaاyaah
فَلَك \ أَفْلَاك,Astronomy; Astrology,falak / aaflaاk
بِطَالَة,"Idleness, inactivity; Unemployment",bitaاlaah
إِقْتِصَاد,"Economy, economics",إiqtisaاd
غَنِمَ \ يَغْنَمُ \ غُنْم,To gain booty; To obtain something,ghanima / yaghnamu / ghunm
قَصْعَة \ قِصَاع,"Large bowl, vessel",qas‘aah / qisaا‘
حِلْس \ أَحْلَاس,Cushion; Saddle blanket,hils / aahlaاs
"قَدُّوم , قَدُوم \ قَدَائِم , قُدُم","Axe, blade of an axe","qaduuwm , qaduwm / qadaاiim , qudum"
"عُود \ أَعْوَاد , عِيدَان","Stick, rod, pole","‘uwd / aa‘waاd , ‘iydaاn"
تَخَصَّصَ \ يَتَخَصَّصُ \ تَخَصُّص,To specialise in,takhasaasa / yatakhasaasu / takhasuus
قَوِيَ \ يَقْوَى \ قُوَّة,"To or become strong, mighty",qawiya / yaqwaā / quwaaah
رَسْمِيّ,"Official, formal, conventional",rasmiyy
اِمْتِيَاز \ اِمْتِيَازَات,"Distinction, merit",اimtiyaاz / اimtiyaاzaاt
مُلَخَّص,"Summarized, abridged",mulakhaas
تَنْمِيَة,"Increase, augmentation; Advancement",tanmiyaah
مَحَلِّيّ,"Local; Native, indigenous",mahaliiyy
مَطَّاط,"Exendable, stretchable; Rubber",mataaاt
اِتَّهَمَ \ يَتَّهِمُ \ اِتِّهَام,"To question, have doubts about; To suspect",اitaahama / yataahimu / اitiihaاm
حَذَافِير,"All of it, entirely, without exception",hadhaاfiyr
شِرْيَان \ شَرَايِين,Artery,shiryaاn / sharaاyiyn
فَحْم \ فُحُومَات,"Coal, charcoal",fahm / fuhuwmaاt
